gray_lvl,hist_value
0,2
1,8
2,25
3,45
4,92
5,124
6,144
7,176
8,237
9,270
10,287
11,337
12,331
13,440
14,462
15,481
16,518
17,541
18,555
19,645
20,589
21,626
22,646
23,627
24,689
25,693
26,672
27,659
28,674
29,732
30,719
31,749
32,719
33,727
34,724
35,699
36,692
37,669
38,679
39,660
40,685
41,621
42,607
43,629
44,574
45,605
46,586
47,559
48,535
49,533
50,516
51,463
52,473
53,431
54,422
55,415
56,380
57,392
58,344
59,335
60,319
61,302
62,289
63,286
64,246
65,249
66,247
67,256
68,198
69,194
70,181
71,179
72,155
73,145
74,149
75,143
76,115
77,117
78,115
79,111
80,96
81,104
82,89
83,71
84,79
85,66
86,57
87,56
88,57
89,59
90,49
91,55
92,41
93,37
94,28
95,34
96,25
97,31
98,27
99,23
100,23
101,17
102,17
103,7
104,8
105,13
106,11
107,9
108,11
109,8
110,6
111,5
112,10
113,4
114,8
115,7
116,3
117,2
118,2
119,1
120,2
121,1
122,1
123,0
124,4
125,2
126,3
127,2
128,0
129,0
130,0
131,0
132,1
133,0
134,0
135,1
136,1
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,1
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
