gray_lvl,hist_value
0,0
1,0
2,0
3,1
4,0
5,0
6,4
7,1
8,1
9,2
10,2
11,0
12,2
13,0
14,0
15,2
16,3
17,2
18,0
19,2
20,4
21,3
22,6
23,3
24,4
25,6
26,4
27,3
28,6
29,5
30,1
31,6
32,6
33,4
34,2
35,3
36,6
37,3
38,6
39,7
40,3
41,3
42,6
43,6
44,8
45,5
46,1
47,5
48,6
49,8
50,4
51,4
52,5
53,3
54,3
55,7
56,3
57,4
58,4
59,6
60,5
61,6
62,5
63,3
64,9
65,8
66,2
67,7
68,3
69,3
70,2
71,2
72,4
73,3
74,2
75,1
76,3
77,2
78,2
79,2
80,1
81,2
82,6
83,2
84,2
85,1
86,2
87,0
88,4
89,2
90,1
91,2
92,3
93,0
94,1
95,2
96,2
97,0
98,0
99,3
100,4
101,4
102,1
103,2
104,2
105,2
106,0
107,3
108,1
109,0
110,2
111,2
112,3
113,0
114,1
115,1
116,0
117,0
118,3
119,2
120,0
121,3
122,1
123,0
124,1
125,0
126,2
127,2
128,0
129,1
130,0
131,0
132,1
133,1
134,0
135,0
136,1
137,0
138,0
139,1
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,0
157,1
158,0
159,0
160,1
161,0
162,1
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
