gray_lvl,hist_value
0,1516
1,1549
2,1571
3,1468
4,1477
5,1489
6,1467
7,1452
8,1396
9,1365
10,1342
11,1237
12,1316
13,1291
14,1170
15,1188
16,1119
17,1085
18,1037
19,969
20,927
21,878
22,805
23,795
24,740
25,713
26,628
27,603
28,590
29,568
30,549
31,464
32,432
33,378
34,354
35,314
36,304
37,289
38,256
39,199
40,210
41,196
42,162
43,126
44,124
45,122
46,108
47,93
48,88
49,76
50,72
51,66
52,55
53,43
54,38
55,35
56,27
57,27
58,20
59,19
60,17
61,20
62,13
63,11
64,5
65,12
66,10
67,15
68,5
69,4
70,3
71,2
72,3
73,4
74,3
75,0
76,3
77,0
78,1
79,0
80,0
81,0
82,0
83,1
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
