gray_lvl,hist_value
0,10412
1,10270
2,10298
3,10160
4,9943
5,9906
6,9756
7,9688
8,9611
9,9246
10,8965
11,8779
12,8571
13,8401
14,8022
15,7695
16,7550
17,7055
18,6876
19,6529
20,6201
21,5875
22,5556
23,5318
24,4950
25,4697
26,4315
27,4180
28,3913
29,3614
30,3377
31,3089
32,2879
33,2573
34,2358
35,2153
36,2059
37,1800
38,1771
39,1486
40,1329
41,1245
42,1086
43,998
44,897
45,791
46,740
47,633
48,596
49,478
50,485
51,400
52,349
53,320
54,267
55,230
56,185
57,170
58,149
59,143
60,115
61,105
62,81
63,72
64,50
65,56
66,46
67,46
68,30
69,29
70,21
71,13
72,16
73,12
74,10
75,11
76,11
77,4
78,6
79,1
80,4
81,5
82,2
83,2
84,1
85,1
86,1
87,0
88,1
89,0
90,0
91,0
92,1
93,2
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,1
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,0
153,0
154,0
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,0
205,0
206,0
207,0
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,0
225,0
226,0
227,0
228,0
229,0
230,0
231,0
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
